tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
40031,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,1656 Newcomb Ave,1,Sidewalk: Curb side : Cutout,Private,2/3/1999,,,37.73585044,-122.3907203
4895,DPW Maintained,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,10 Rosie Lee Ln,1,Sidewalk: Curb side : Cutout,DPW,4/19/1993,12,3X4,37.7317443,-122.3796046
35391,Permitted Site,Ficus microcarpa :: Chinese Banyan,23 Orben Pl,1,Sidewalk: Curb side : Cutout,Private,2/26/1998,,,37.78827373,-122.432961
69399,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1150 Naples St,1,Sidewalk: Curb side : Cutout,Private,5/9/1994,12,,37.71272098,-122.4373256
40459,Permitted Site,Arbutus unedo :: Strawberry Tree,256 Gates St,1,Sidewalk: Curb side : Cutout,Private,6/11/1999,,,37.73951268,-122.4140832
95809,DPW Maintained,Melaleuca ericifolia :: Heath Melaleuca,691 Tennessee St,1,Sidewalk: Curb side : Cutout,Private,8/19/2011,4,3x3,37.76312069,-122.3896467
48912,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1930 Vallejo St,1,Sidewalk: Curb side : Cutout,Private,11/22/2002,2,3x3,37.79606115,-122.4291135
261117,DPW Maintained,Crataegus phaenopyrum :: Washington Hawthorn,331 Thornton Ave,7,Sidewalk: Curb side : Cutout,Private,10/19/2019,3,4x6,37.73107213,-122.3954864
57209,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2898 Clay St,1,Sidewalk: Curb side : Cutout,Private,12/15/2014,3,,37.78998742,-122.4404101
17065,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1345 Oak St,1,Sidewalk: Curb side : Cutout,Private,12/19/1991,6,3X3,37.77253546,-122.4414565
9618,DPW Maintained,Acer buergeranum :: Trident Maple,1400 Golden Gate Ave,1,Sidewalk: Curb side : Cutout,Private,6/12/2018,3,3X3,37.77939937,-122.4337933
